STUDY_ID	SAMPLE_ID	FERMT1	FERMT2	FERMT3
laml_tcga_pan_can_atlas_2018	TCGA-AB-2959-03	-1.6147	0.0886	-1.1747
laml_tcga_pan_can_atlas_2018	TCGA-AB-2907-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-3007-03	-1.3306	-1.6007	-1.1832
laml_tcga_pan_can_atlas_2018	TCGA-AB-2887-03	1.1779	0.1273	0.1748
laml_tcga_pan_can_atlas_2018	TCGA-AB-2948-03	1.004	0.0841	0.9123
laml_tcga_pan_can_atlas_2018	TCGA-AB-2809-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2879-03	-0.0811	-0.8029	-0.769
laml_tcga_pan_can_atlas_2018	TCGA-AB-2995-03	1.9157	1.1901	0.1931
laml_tcga_pan_can_atlas_2018	TCGA-AB-2997-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2915-03	-1.3939	-1.169	1.5843
laml_tcga_pan_can_atlas_2018	TCGA-AB-2898-03	1.0296	0.9402	-0.042
laml_tcga_pan_can_atlas_2018	TCGA-AB-2947-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2964-03	-0.1682	1.0715	-1.4421
laml_tcga_pan_can_atlas_2018	TCGA-AB-2982-03	-0.0987	1.9662	-2.1994
laml_tcga_pan_can_atlas_2018	TCGA-AB-2883-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2941-03	1.2822	1.1868	1.3266
laml_tcga_pan_can_atlas_2018	TCGA-AB-2881-03	-1.3629	-0.2764	0.567
laml_tcga_pan_can_atlas_2018	TCGA-AB-2803-03	-1.6147	1.4198	-1.2856
laml_tcga_pan_can_atlas_2018	TCGA-AB-2873-03	0.633	1.2293	0.9929
laml_tcga_pan_can_atlas_2018	TCGA-AB-2811-03	-1.1152	-0.7989	2.4252
laml_tcga_pan_can_atlas_2018	TCGA-AB-2968-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2919-03	0.3902	-0.8101	-1.0962
laml_tcga_pan_can_atlas_2018	TCGA-AB-2832-03	0.7617	-1.1716	-0.9735
laml_tcga_pan_can_atlas_2018	TCGA-AB-2903-03	0.1882	-0.656	-1.5293
laml_tcga_pan_can_atlas_2018	TCGA-AB-2969-03	0.0967	-0.6719	0.2813
laml_tcga_pan_can_atlas_2018	TCGA-AB-2937-03	-1.0031	0.1725	0.7931
laml_tcga_pan_can_atlas_2018	TCGA-AB-2819-03	1.0887	0.5506	-1.2228
laml_tcga_pan_can_atlas_2018	TCGA-AB-2925-03	-0.6777	-1.1388	0.6519
laml_tcga_pan_can_atlas_2018	TCGA-AB-2928-03	0.3554	-0.4425	0.1846
laml_tcga_pan_can_atlas_2018	TCGA-AB-2849-03	2.3192	0.4672	-2.7902
laml_tcga_pan_can_atlas_2018	TCGA-AB-2817-03	0.5758	-0.0921	-0.1081
laml_tcga_pan_can_atlas_2018	TCGA-AB-2891-03	-0.9396	0.4177	0.3728
laml_tcga_pan_can_atlas_2018	TCGA-AB-2923-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2888-03	-1.6147	-0.1866	0.2257
laml_tcga_pan_can_atlas_2018	TCGA-AB-2850-03	NA	NA	NA
laml_tcga_pan_can_atlas_2018	TCGA-AB-2971-03	0.8763	-1.4387	-0.3776
laml_tcga_pan_can_atlas_2018	TCGA-AB-2840-03	-1.6147	0.6447	-1.3611
laml_tcga_pan_can_atlas_2018	TCGA-AB-2975-03	-0.8309	-0.4029	-0.2656
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J1-01	-3.9182	-2.1143	0.0226
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J2-01	-0.495	1.3429	0.2599
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J3-01	-1.115	-0.4659	0.2219
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J4-01	NA	NA	NA
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J5-01	-1.7471	-0.2714	0.5125
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J6-01	0.0826	0.5627	1.2275
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J7-01	-0.2036	-0.7375	-0.9598
acc_tcga_pan_can_atlas_2018	TCGA-OR-A5J8-01	-0.8515	1.8835	2.4927
