0,1
TCGA-43-6770,Altered
TCGA-43-6771,Altered
TCGA-43-7656,Altered
TCGA-43-7657,Altered
TCGA-43-8116,Altered
TCGA-43-8118,Altered
TCGA-44-A4SU,Altered
TCGA-44-A47B,Altered
TCGA-44-2655,Altered
TCGA-44-2666,Altered
TCGA-44-5643,Altered
TCGA-44-5644,Altered
TCGA-44-6146,Altered
TCGA-44-6148,Altered
TCGA-44-6776,Altered
TCGA-44-7660,Altered
TCGA-44-7667,Altered
TCGA-44-7671,Altered
TCGA-44-8120,Altered
TCGA-46-3765,Altered
TCGA-46-3767,Altered
TCGA-46-3769,Altered
TCGA-46-6025,Altered
TCGA-46-6026,Altered
TCGA-49-AAQV,Altered
TCGA-49-AARE,Altered
TCGA-49-4490,Altered
TCGA-49-4494,Altered
TCGA-49-4501,Altered
TCGA-49-4510,Altered
TCGA-49-4514,Altered
TCGA-49-6742,Altered
TCGA-49-6761,Altered
TCGA-50-5051,Altered
TCGA-50-5072,Altered
TCGA-50-5931,Altered
TCGA-50-5932,Altered
TCGA-50-5942,Altered
TCGA-50-5946,Altered
TCGA-50-6594,Altered
TCGA-50-6597,Altered
TCGA-50-6673,Altered
TCGA-50-7109,Altered
TCGA-51-4079,Altered
TCGA-51-4080,Altered
TCGA-51-4081,Altered
TCGA-52-7809,Altered
TCGA-52-7810,Altered
TCGA-52-7811,Altered
TCGA-52-7812,Altered
TCGA-53-A4EZ,Altered
TCGA-53-7813,Altered
TCGA-55-A4DG,Altered
TCGA-55-A494,Altered
TCGA-55-1596,Altered
TCGA-55-6972,Altered
TCGA-55-6981,Altered
TCGA-55-6986,Altered
TCGA-55-7283,Altered
TCGA-55-7576,Altered
TCGA-55-7725,Altered
TCGA-55-7727,Altered
TCGA-55-7903,Altered
TCGA-55-7910,Altered
TCGA-55-7913,Altered
TCGA-55-7914,Altered
TCGA-55-8087,Altered
TCGA-55-8204,Altered
TCGA-55-8505,Altered
TCGA-55-8507,Altered
TCGA-55-8512,Altered
TCGA-55-8615,Altered
TCGA-55-8616,Altered
TCGA-56-A4BW,Altered
TCGA-56-A4BX,Altered
TCGA-56-A4BY,Altered
TCGA-56-A5DR,Altered
TCGA-56-A5DS,Altered
TCGA-56-A62T,Altered
TCGA-56-1622,Altered
TCGA-56-5898,Altered
TCGA-56-7221,Altered
TCGA-56-7222,Altered
TCGA-56-7579,Altered
TCGA-56-7580,Altered
TCGA-56-7582,Altered
TCGA-56-7730,Altered
TCGA-56-7731,Altered
TCGA-56-7822,Altered
TCGA-56-7823,Altered
TCGA-56-8082,Altered
TCGA-56-8083,Altered
TCGA-56-8304,Altered
TCGA-56-8305,Altered
TCGA-56-8307,Altered
TCGA-56-8308,Altered
TCGA-56-8504,Altered
TCGA-56-8622,Altered
TCGA-56-8624,Altered
TCGA-56-8626,Altered
TCGA-56-8629,Altered
TCGA-58-A46J,Altered
TCGA-58-A46K,Altered
TCGA-58-A46L,Altered
TCGA-58-A46M,Altered
TCGA-58-A46N,Altered
TCGA-58-8388,Altered
TCGA-58-8390,Altered
TCGA-58-8391,Altered
TCGA-58-8392,Altered
TCGA-60-2703,Altered
TCGA-60-2707,Altered
TCGA-60-2708,Altered
TCGA-60-2711,Altered
TCGA-60-2714,Altered
TCGA-60-2716,Altered
TCGA-60-2719,Altered
TCGA-60-2720,Altered
TCGA-60-2721,Altered
TCGA-60-2722,Altered
TCGA-60-2723,Altered
TCGA-60-2724,Altered
TCGA-60-2726,Altered
TCGA-62-A46O,Altered
TCGA-62-A46S,Altered
TCGA-62-A46V,Altered
TCGA-62-A470,Altered
TCGA-62-A471,Altered
TCGA-62-8394,Altered
TCGA-62-8395,Altered
TCGA-62-8397,Altered
TCGA-62-8398,Altered
TCGA-63-A5M9,Altered
TCGA-63-A5MB,Altered
TCGA-63-A5MG,Altered
TCGA-63-A5MI,Altered
TCGA-63-A5MJ,Altered
TCGA-63-A5ML,Altered
TCGA-63-A5MM,Altered
TCGA-63-A5MP,Altered
TCGA-63-A5MR,Altered
TCGA-63-A5MT,Altered
TCGA-63-A5MU,Altered
TCGA-63-A5MV,Altered
TCGA-63-A5MW,Altered
TCGA-63-A5MY,Altered
TCGA-63-5128,Altered
TCGA-63-5131,Altered
TCGA-63-7020,Altered
TCGA-63-7021,Altered
TCGA-63-7023,Altered
TCGA-64-1677,Altered
TCGA-64-1680,Altered
TCGA-64-5774,Altered
TCGA-64-5779,Altered
TCGA-A6-2683,Altered
TCGA-A6-6652,Altered
TCGA-AA-A00W,Altered
TCGA-AA-A01G,Altered
TCGA-AA-A01Q,Altered
TCGA-AA-A01S,Altered
TCGA-AA-A02J,Altered
TCGA-AA-A029,Altered
TCGA-AA-3979,Altered
